Unit,Price           (1 - 500),Tab,Country,Is Command,Is Prototype,Amphibious,Speed              (23 km - 1100km),Autonomy          (60 km+),Strength         (2 - 300),Optics Ground         (40 - 220),Optics Air         (10 - 900),Optics Anti-Radar         (300 - 500),Stealth                           (0.7 - 3),Size Modifier                  (-0.2 - 0.1),Front Armor       (0 - 23),Side Armor      (0 - 12),Rear Armor       (0 - 6),Top Armor      (0 - 4),Weapon1 Type,Weapon1 HE                  (0 - 30),Weapon1 AP               (0 - 200),Weapon1 Fire Starting Probability                  (0 - 100%),Weapon1 Ammo,Weapon1 Aim Time,Weapon1 Time Between Shots,Weapon1 Shots Per Salvo,Weapon1 Reload Time,Weapon1 Dmg Radius,Weapon1 Surpress Radius,Weapon1 Accuracy,Weapon1 Accuracy While Moving,Weapon1 Range Ground,Weapon1 Range Ground Minimum,Weapon1 Range Helicopters,Weapon1 Range Helicopters Minimum,Weapon1 Range Planes,Weapon1 Range Planes Minimum,Weapon1 Range Ships,Weapon1 Range Ships Minimum,Weapon1 Supply Cost Per Salvo,Weapon2 Type,Weapon2 HE,Weapon2 AP,Weapon2 Fire Starting Probability                  (0 - 100%),Weapon2 Ammo,Weapon2 Aim Time,Weapon2 Time Between Shots,Weapon2 Shots Per Salvo,Weapon2 Reload Time,Weapon2 Damage Radius,Weapon2 Surpress Radius,Weapon2 Accuracy,Weapon2 Accuracy While Moving,Weapon2 Range Ground,Weapon2 Range Ground Minimum,Weapon2 Range Helicopters,Weapon2 Range Helicopters Minimum,Weapon2 Range Planes,Weapon2 Range Planes Minimum,Weapon2 Range Ships,Weapon2 Range Ships Minimum,Weapon2 Supply Cost Per Salvo,Weapon3 Type,Weapon3 HE,Weapon3 AP,Weapon3 Fire Starting Probability                  (0 - 100%),Weapon3 Ammo,Weapon3 Aim Time,Weapon3 Time Between Shots,Weapon3 Shots Per Salvo,Weapon3 Reload Time,Weapon3 Damage Radius,Weapon3 Surpress Radius,Weapon3 Accuracy,Weapon3 Accuracy While Moving,Weapon3 Range Ground,Weapon3 Range Ground Minimum,Weapon3 Range Helicopters,Weapon3 Range Helicopters Minimum,Weapon3 Range Planes,Weapon3 Range Planes Minimum,Weapon3 Range Ships,Weapon3 Range Ships Minimum,Weapon3 Supply Cost Per Salvo,Year,Decks
BTR-70,15,VHC,Soviet Union,FALSE,FALSE,TRUE,80 km/h,500 km,10,60,20,,1,,2,1,1,1,HMG,1,1,,400,1 s,1 s,6,3 s,4 m,13 m,10%,5%,1400 m,,,,,,1400 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,Motorized|Marine
BTR-70K,135,LOG,Soviet Union,TRUE,FALSE,TRUE,80 km/h,600 km,10,80,40,,1,,2,1,1,1,HMG,1,1,,280,1 s,1 s,6,3 s,4 m,13 m,10%,5%,1400 m,,,,,,1400 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,Motorized|Marine|Support
BTR-70 ZHALO,30,VHC,Soviet Union,FALSE,FALSE,TRUE,70 km/h,500 km,10,80,40,,1,,2,1,1,1,Main Gun,3,9,,20,1 s,3 s,20,3 s,2 m,149 m,50%,20%,1925 m,,,,,,1925 m,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Airborne|Support
BTR-80,15,VHC,Soviet Union,FALSE,FALSE,TRUE,90 km/h,600 km,10,60,20,,1,,2,2,1,1,HMG,1,1,,400,1 s,1 s,6,3 s,4 m,13 m,20%,10%,1400 m,,,,,,1400 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,Motorized|Marine
BTR-80A,20,VHC,North Korea,FALSE,FALSE,TRUE,80 km/h,600 km,10,80,20,,1,,2,2,1,1,Autocannon,1,3,,510,1 s,1 s,2,1 s,8 m,26 m,40%,30%,1750 m,,,,,,1750 m,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,Motorized|Marine
BTR-80A,20,VHC,Soviet Union,FALSE,FALSE,TRUE,80 km/h,600 km,10,80,20,,1,,2,2,1,1,Autocannon,1,3,,510,1 s,1 s,2,1 s,8 m,26 m,40%,30%,1750 m,,,,,,1750 m,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,Motorized|Marine
BTR-90,30,VHC,Soviet Union,FALSE,FALSE,TRUE,100 km/h,800 km,10,80,20,,1,,3,2,1,1,Grenade Launcher,2,,10%,300,1 s,1 s,10,7 s,25 m,49 m,15%,10%,1225 m,53 m,,,,,1225 m,53 m,80,Autocannon,1,3,,510,1 s,1 s,2,1 s,8 m,26 m,40%,30%,1750 m,,,,,,1750 m,,15,,,,,,,,,,,,,,,,,,,,,,,1994,Motorized|Marine
BTR-T,25,VHC,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,80,20,,1,,13,5,2,2,Grenade Launcher,2,,10%,300,1 s,1 s,10,7 s,25 m,49 m,15%,10%,1225 m,53 m,,,,,1225 m,53 m,80,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1996,Mechanized|Armored|Support
BTR-152E ZPTU-2,10,VHC,Soviet Union,FALSE,FALSE,FALSE,55 km/h,500 km,10,60,40,,1,,1,1,1,4,MMG,1,1,,1920,1 s,0 s,12,5 s,4 m,13 m,10%,5%,1400 m,,1750 m,,,,1400 m,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,Mechanized|Motorized|Airborne|Support
BTR-152E ZPTU-4,15,VHC,Soviet Union,FALSE,FALSE,FALSE,55 km/h,500 km,10,60,40,,1,,1,1,1,4,MMG,1,1,,1920,1 s,0 s,24,8 s,4 m,13 m,10%,5%,1400 m,,1750 m,,,,1400 m,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,Mechanized|Motorized|Airborne|Support
BTR-152,10,VHC,Israel,FALSE,FALSE,FALSE,65 km/h,550 km,10,60,20,,1,,1,1,1,4,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,Motorized|Marine|Airborne|Support
BTR-152,10,VHC,North Korea,FALSE,FALSE,FALSE,65 km/h,550 km,10,60,20,,1,,1,1,1,1,MMG,0.5,,,2400,1 s,1 s,10,2 s,2 m,7 m,15%,5%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,Motorized|Support
BTR-152 TCM,25,SUP,Israel,FALSE,FALSE,FALSE,65 km/h,550 km,10,60,120,,1,,1,1,1,4,Twin Autocannon,1,,,600,1 s,0 s,62,15 s,5 m,46 m,25%,,1050 m,,2450 m,,1750 m,,1050 m,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,Motorized|Marine|Airborne|Support
BTR 40A,15,REC,North Korea,FALSE,FALSE,FALSE,80 km/h,400 km,10,120,80,,1.5,-0.05,1,1,1,4,MMG,1,1,,1280,1 s,0 s,12,5 s,4 m,13 m,10%,5%,1400 m,,1750 m,,,,1400 m,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,Mechanized|Motorized|Marine|Airborne|Support
BTR-50,5,VHC,Finland,FALSE,FALSE,TRUE,45 km/h,350 km,10,60,20,,1,,2,1,1,1,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,Mechanized|Armored|Support
BTR-50PK,5,VHC,North Korea,FALSE,FALSE,TRUE,45 km/h,350 km,10,60,20,,1,,2,1,1,1,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,Mechanized|Marine|Armored|Support
BTR-50YVI,100,LOG,Finland,TRUE,FALSE,TRUE,45 km/h,350 km,10,80,40,,1,,2,1,1,1,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,Mechanized|Support
BTR-50 VIGILANT,15,VHC,Finland,FALSE,FALSE,TRUE,45 km/h,350 km,10,60,40,,1,,2,1,1,1,ATGM,1,20,,6,2 s,1 s,2,20 s,4 m,280 m,35%,,2100 m,175 m,,,,,2100 m,175 m,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Armored|Support
BTR-60PB,10,VHC,North Korea,FALSE,FALSE,TRUE,80 km/h,500 km,10,60,20,,1,,1,1,1,1,HMG,1,1,,400,1 s,1 s,6,3 s,4 m,13 m,10%,5%,1400 m,,,,,,1400 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,Motorized|Marine
BTR-60P,10,VHC,North Korea,FALSE,FALSE,TRUE,80 km/h,500 km,10,60,20,,1,,1,1,1,4,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,Motorized|Marine|Support
BTR-D,5,VHC,Soviet Union,FALSE,FALSE,TRUE,60 km/h,500 km,10,60,20,,1,-0.05,2,2,1,1,MMG,0.5,,,4800,1 s,0 s,40,8 s,2 m,7 m,10%,5%,875 m,,525 m,,,,875 m,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,Airborne
BTR-RD ROBOT,15,VHC,Soviet Union,FALSE,FALSE,TRUE,60 km/h,500 km,10,60,20,,1,-0.05,2,2,1,1,MMG,0.5,,,4800,1 s,0 s,40,8 s,2 m,7 m,10%,5%,875 m,,525 m,,,,875 m,,80,ATGM,1,16,,4,2 s,1 s,1,5 s,4 m,280 m,40%,,2450 m,175 m,,,,,2450 m,175 m,75,,,,,,,,,,,,,,,,,,,,,,,1975,Airborne
BTR-ZD SKREZHET,15,VHC,Soviet Union,FALSE,FALSE,TRUE,60 km/h,500 km,10,60,20,,1,-0.05,2,2,1,4,MMG,0.5,,,4800,1 s,0 s,40,8 s,2 m,7 m,10%,5%,875 m,,525 m,,,,875 m,,80,Twin Autocannon,1,,,2000,1 s,0 s,10,10 s,6 m,47 m,15%,5%,1050 m,,2450 m,,1750 m,,1050 m,,100,,,,,,,,,,,,,,,,,,,,,,,1975,Airborne
BVP-1,15,VHC,Czechoslavakia,FALSE,FALSE,TRUE,60 km/h,600 km,10,60,20,,1,,3,1,1,1,ATGM,1,13,,4,2 s,1 s,1,10 s,4 m,280 m,35%,,2450 m,175 m,,,,,2450 m,175 m,53,Main Gun,2,12,,40,1 s,7 s,40,7 s,2 m,128 m,35%,5%,1575 m,,,,,,1575 m,,600,,,,,,,,,,,,,,,,,,,,,,,1969,Mechanized|Armored
BVP-1K,130,LOG,Czechoslavakia,TRUE,FALSE,TRUE,60 km/h,600 km,10,80,40,,1,,3,1,1,1,ATGM,1,13,,4,2 s,1 s,1,10 s,4 m,280 m,35%,,2450 m,175 m,,,,,2450 m,175 m,53,Main Gun,2,12,,40,1 s,7 s,40,7 s,2 m,128 m,35%,5%,1575 m,,,,,,1575 m,,600,,,,,,,,,,,,,,,,,,,,,,,1974,Mechanized|Armored
BVP-1P,20,VHC,Czechoslavakia,FALSE,FALSE,TRUE,60 km/h,600 km,10,60,20,,1,,3,1,1,1,ATGM,1,20,,4,2 s,1 s,1,5 s,4 m,280 m,45%,,2625 m,175 m,,,,,2625 m,175 m,113,Main Gun,2,12,,40,1 s,7 s,40,7 s,2 m,128 m,35%,5%,1575 m,,,,,,1575 m,,600,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Armored
BVP-2,20,VHC,Czechoslavakia,FALSE,FALSE,TRUE,65 km/h,600 km,10,60,20,,1,,4,2,1,1,ATGM,1,20,,4,2 s,1 s,1,5 s,4 m,280 m,45%,,2625 m,175 m,,,,,2625 m,175 m,113,Autocannon,1,2,,510,1 s,1 s,2,1 s,8 m,26 m,25%,10%,1575 m,,,,,,1575 m,,15,,,,,,,,,,,,,,,,,,,,,,,1982,Mechanized|Armored
BVP-2 vz.86,30,VHC,Czechoslavakia,FALSE,FALSE,TRUE,65 km/h,600 km,10,60,20,,1,,4,3,1,1,ATGM,1,23,,4,2 s,1 s,1,5 s,4 m,280 m,50%,,2625 m,175 m,,,,,2625 m,175 m,144,Autocannon,1,2,,510,1 s,1 s,2,1 s,8 m,26 m,30%,20%,1750 m,,,,,,1750 m,,15,,,,,,,,,,,,,,,,,,,,,,,1992,Mechanized|Armored
BVP M-80A,15,VHC,Yugoslavia,FALSE,FALSE,TRUE,65 km/h,500 km,10,60,20,,1,,3,1,1,1,ATGM,1,13,,4,2 s,1 s,1,10 s,4 m,280 m,35%,,2450 m,175 m,,,,,2450 m,175 m,53,Autocannon,1,2,,390,1 s,0 s,2,1 s,5 m,18 m,20%,15%,1575 m,,,,,,1575 m,,15,,,,,,,,,,,,,,,,,,,,,,,1979,Mechanized|Armored
BVP M-80A1 VIDRA,20,VHC,Yugoslavia,FALSE,FALSE,TRUE,65 km/h,500 km,10,60,20,,1,,3,1,1,1,ATGM,1,17,,4,2 s,1 s,2,10 s,4 m,280 m,40%,,2450 m,175 m,,,,,2450 m,175 m,159,Autocannon,1,3,,195,1 s,1 s,2,1 s,8 m,26 m,30%,20%,1750 m,,,,,,1750 m,,15,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,15%,5%,875 m,,525 m,,,,875 m,,20,1990,Mechanized|Armored
BVP M-96 VIDRA,25,VHC,Yugoslavia,FALSE,FALSE,TRUE,65 km/h,500 km,10,80,20,,1,,3,1,1,1,ATGM,1,26,,4,2 s,1 s,2,10 s,4 m,280 m,40%,,2450 m,175 m,,,,,2450 m,175 m,243,Autocannon,1,4,,240,1 s,1 s,2,1 s,8 m,26 m,30%,20%,1750 m,,,,,,1750 m,,15,,,,,,,,,,,,,,,,,,,,,,,1995,Mechanized|Armored
BWP-1,15,VHC,Poland,FALSE,FALSE,TRUE,60 km/h,600 km,10,60,20,,1,,3,1,1,1,ATGM,1,13,,4,2 s,1 s,1,10 s,4 m,280 m,35%,,2450 m,175 m,,,,,2450 m,175 m,53,Main Gun,2,12,,40,1 s,7 s,40,7 s,2 m,128 m,35%,5%,1575 m,,,,,,1575 m,,600,,,,,,,,,,,,,,,,,,,,,,,1973,Mechanized|Armored
BWP-2,20,VHC,Poland,FALSE,FALSE,TRUE,65 km/h,600 km,10,60,20,,1,,4,2,1,1,ATGM,1,20,,4,2 s,1 s,1,5 s,4 m,280 m,45%,,2625 m,175 m,,,,,2625 m,175 m,113,Autocannon,1,2,,510,1 s,1 s,2,1 s,8 m,26 m,25%,10%,1575 m,,,,,,1575 m,,15,,,,,,,,,,,,,,,,,,,,,,,1988,Mechanized|Armored
BWP-2D,20,VHC,Poland,FALSE,FALSE,FALSE,55 km/h,600 km,10,60,20,,1,,4,3,2,1,ATGM,1,20,,4,2 s,1 s,1,5 s,4 m,280 m,45%,,2625 m,175 m,,,,,2625 m,175 m,113,Autocannon,1,2,,510,1 s,1 s,2,1 s,8 m,26 m,25%,10%,1575 m,,,,,,1575 m,,15,,,,,,,,,,,,,,,,,,,,,,,1988,Mechanized|Armored
BY5020TSL,110,LOG,China,TRUE,FALSE,TRUE,100 km/h,500 km,5,80,40,,1,-0.05,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,Motorized|Marine|Support
BARDELAS,5,VHC,Israel,FALSE,FALSE,TRUE,70 km/h,480 km,10,60,20,,1,,1,1,1,1,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,1972,Mechanized|Marine|Armored|Support
BARKAN,15,INF,Israel,FALSE,FALSE,FALSE,23 km/h,,2,80,80,,2.5,-0.15,2,2,2,2,Assault Rifles,1,,,160,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,SAM,5,,,6,1 s,6 s,1,6 s,123 m,245 m,50%,,,,2275 m,,1820 m,,,,58,,,,,,,,,,,,,,,,,,,,,,,1990,Mechanized|Motorized|Marine|Airborne|Armored|Support
BATELEUR,75,SUP,South Africa,FALSE,FALSE,FALSE,90 km/h,1000 km,10,40,10,,1,0.05,1,1,4,4,MLRS,1,3,,40,20 s,0 s,20,80 s,105 m,123 m,,,24500 m,4900 m,,,,,24500 m,4900 m,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,Motorized|Support
BAZAK,10,INF,Israel,FALSE,FALSE,FALSE,23 km/h,,2,80,80,,2.5,-0.15,2,2,2,2,SMG,1,,,160,1 s,2 s,4,4 s,2 m,7 m,20%,20%,455 m,2 m,455 m,,,,455 m,2 m,4,SAM,3,,,6,1 s,6 s,1,6 s,74 m,147 m,35%,,,,2275 m,,1820 m,,,,35,,,,,,,,,,,,,,,,,,,,,,,1970,Mechanized|Motorized|Marine|Airborne|Armored|Support
BEDOUINS,10,REC,Israel,FALSE,FALSE,FALSE,30 km/h,,5,170,40,,2.5,-0.15,2,2,2,2,Assault Rifles,1,,,400,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,Sniper Rifle,1,,,50,2 s,4 s,1,4 s,2 m,7 m,95%,,1050 m,88 m,595 m,,,,1050 m,88 m,6,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Marine|Airborne|Armored|Support
BERLIET EXOCET,70,SHP,France,FALSE,FALSE,FALSE,65 km/h,600 km,10,40,10,,1,,4,4,4,4,SSM,4,80,,4,0 s,1 s,4,20 s,140 m,280 m,70%,,,,,,,,7000 m,700 m,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,Mechanized|Motorized|Marine|Airborne|Armored|Support
BKAN 1A,120,SUP,Sweden,FALSE,FALSE,FALSE,30 km/h,230 km,10,40,10,,1,0.05,2,2,1,1,Howitzer,7,,30%,14,30 s,3 s,14,30 s,109 m,217 m,,,24500 m,2450 m,,,,,24500 m,2450 m,473,MMG,0.5,,,500,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1966,Mechanized|Armored|Support
BKAN 1C,130,SUP,Sweden,FALSE,FALSE,FALSE,45 km/h,230 km,10,40,10,,1,0.05,2,2,1,1,Howitzer,7,,30%,14,10 s,3 s,14,30 s,109 m,217 m,,,24500 m,2450 m,,,,,24500 m,2450 m,933,LMG,0.5,,,500,2 s,1 s,10,5 s,2 m,35 m,20%,5%,875 m,88 m,595 m,,,,875 m,88 m,10,,,,,,,,,,,,,,,,,,,,,,,1992,Armored|Support
BOSVARK,15,SUP,South Africa,FALSE,FALSE,FALSE,90 km/h,1000 km,10,60,120,,1,0.05,1,1,4,4,Twin Autocannon,1,,,1000,1 s,0 s,10,10 s,6 m,47 m,15%,,1050 m,,2450 m,,1750 m,,1050 m,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,Motorized|Armored|Support
BPzV SVATAVA,50,REC,Czechoslavakia,FALSE,FALSE,TRUE,65 km/h,600 km,10,220,40,,1.5,,3,1,1,1,ATGM,1,15,,7,2 s,1 s,1,10 s,4 m,280 m,40%,,2450 m,175 m,,,,,2450 m,175 m,70,Main Gun,2,12,,20,1 s,7 s,20,7 s,2 m,128 m,35%,5%,1575 m,,,,,,1575 m,,300,,,,,,,,,,,,,,,,,,,,,,,1988,Mechanized|Motorized|Armored
COMVAT,30,VHC,United States,FALSE,FALSE,FALSE,65 km/h,480 km,10,60,40,,1,,3,3,1,1,Autocannon,1,5,,900,1 s,2 s,2,2 s,12 m,40 m,70%,40%,1925 m,,,,,,1925 m,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,Mechanized|Motorized|Armored|Support
BRDSKA PEŠ.,20,INF,Yugoslavia,FALSE,FALSE,FALSE,38 km/h,,15,80,40,,2,-0.15,2,2,2,2,Assault Rifles,1,,,1600,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,Recoilless Rifle,1,15,,15,1 s,1 s,1,8 s,2 m,144 m,40%,,1400 m,,,,,,1400 m,,20,LMG,0.5,,,2000,2 s,1 s,20,5 s,2 m,35 m,20%,,875 m,88 m,595 m,,,,875 m,88 m,20,1980,Motorized|Airborne|Support
BUFFALOS '85,35,INF,South Africa,FALSE,FALSE,FALSE,45 km/h,,15,80,40,,2,-0.15,2,2,2,2,Assault Rifles,1,,,1800,1 s,2 s,6,5 s,2 m,7 m,45%,23%,525 m,2 m,525 m,,,,525 m,2 m,6,ATGM,1,17,,9,2 s,1 s,1,5 s,4 m,280 m,40%,,2450 m,175 m,,,,,2450 m,175 m,79,SAW,0.5,,,2000,2 s,1 s,10,5 s,2 m,35 m,30%,15%,875 m,,595 m,,,,875 m,,10,1985,Motorized|Airborne|Support
BUFFALOS,20,INF,South Africa,FALSE,FALSE,FALSE,45 km/h,,15,80,40,,2,-0.15,2,2,2,2,Battle Rifle,1,,,1800,1 s,3 s,6,6 s,2 m,7 m,60%,15%,595 m,2 m,595 m,,,,595 m,2 m,6,LAW,1,14,,12,,1 s,1,6 s,2 m,145 m,40%,,700 m,,,,,,700 m,,20,SAW,0.5,,,2400,2 s,1 s,20,5 s,2 m,35 m,40%,20%,770 m,,595 m,,,,770 m,,20,1975,Motorized|Airborne|Support
BUFFEL,10,VHC,South Africa,FALSE,FALSE,FALSE,90 km/h,1000 km,10,60,20,,1,,1,1,1,4,MMG,0.5,,,4000,1 s,0 s,20,4 s,2 m,7 m,20%,5%,875 m,,525 m,,,,875 m,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,Motorized|Marine|Airborne|Armored|Support
BUFFEL BV,115,LOG,South Africa,TRUE,FALSE,FALSE,90 km/h,1000 km,10,80,40,,1,,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,Motorized|Marine|Airborne|Armored|Support
BGS,10,REC,West Germany,FALSE,FALSE,FALSE,23 km/h,,5,170,40,,2,-0.15,2,2,2,2,Battle Rifle,1,,,300,1 s,6 s,3,12 s,2 m,7 m,30%,5%,595 m,2 m,595 m,,,,595 m,2 m,3,LAW,1,14,,3,,1 s,1,6 s,2 m,175 m,50%,,525 m,,,,,,525 m,,20,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Marine|Airborne|Armored|Support
BURGERMAG,5,INF,South Africa,FALSE,FALSE,FALSE,23 km/h,,15,80,40,,2,-0.15,2,2,2,2,Battle Rifle,1,,,600,1 s,6 s,3,12 s,2 m,7 m,30%,5%,595 m,2 m,595 m,,,,595 m,2 m,3,LAW,1,10,,6,,1 s,1,6 s,2 m,158 m,30%,,525 m,,,,,,525 m,,15,,,,,,,,,,,,,,,,,,,,,,,1975,Motorized|Armored|Support
C-13/60,30,VHC,Italy,FALSE,FALSE,TRUE,70 km/h,480 km,10,60,40,,1,,2,2,1,1,Autocannon,1,11,,42,1 s,2 s,6,2 s,16 m,53 m,60%,,1925 m,,,,,,1925 m,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,Mechanized|Motorized|Marine|Armored|Support
C1 ARIETE,155,TNK,Italy,FALSE,FALSE,FALSE,65 km/h,570 km,10,80,20,,1,0.05,19,6,4,3,Main Gun,3,23,,28,1 s,1 s,1,7 s,2 m,210 m,65%,55%,2275 m,,,,,,2275 m,,25,MMG,0.75,,,900,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,MMG,0.5,,,2000,1 s,1 s,10,2 s,2 m,7 m,30%,20%,875 m,,525 m,,,,875 m,,20,1995,Armored
CAESAR,120,SUP,France,FALSE,FALSE,FALSE,100 km/h,600 km,10,40,10,,1,0.05,4,4,4,4,Howitzer,7,,30%,18,10 s,6 s,6,30 s,109 m,217 m,,,33950 m,3395 m,,,,,33950 m,3395 m,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,Motorized|Marine|Airborne|Support
CANADIAN AIRBORNE '90,25,INF,Canada,FALSE,FALSE,FALSE,38 km/h,,10,80,40,,2,-0.15,2,2,2,2,Assault Rifles,1,,,1200,1 s,2 s,6,5 s,2 m,7 m,45%,23%,525 m,2 m,525 m,,,,525 m,2 m,6,LAW,1,20,,6,,1 s,1,6 s,2 m,147 m,60%,,875 m,,,,,,875 m,,20,SAW,0.5,,,1800,2 s,1 s,20,5 s,2 m,35 m,40%,20%,770 m,,595 m,,,,770 m,,20,1991,Mechanized|Motorized|Airborne|Support
BISON,10,VHC,Canada,FALSE,FALSE,TRUE,100 km/h,400 km,10,60,20,,1,,2,2,1,1,MMG,0.5,,,4000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,Motorized
BISON 81MM,30,SUP,Canada,FALSE,FALSE,TRUE,100 km/h,600 km,10,40,10,,1,,2,2,1,4,Mortar,3,,30%,90,4 s,2 s,5,8 s,28 m,85 m,,,4900 m,490 m,,,,,4900 m,490 m,120,MMG,0.5,,,1500,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1990,Motorized|Marine|Support
COMMAND SQUAD,100,LOG,Canada,TRUE,FALSE,FALSE,30 km/h,,5,80,40,,2,-0.15,2,2,2,2,Battle Rifle,1,,,400,1 s,4 s,4,8 s,2 m,7 m,40%,10%,595 m,2 m,595 m,,,,595 m,2 m,4,LMG,0.5,,,500,2 s,1 s,10,5 s,2 m,35 m,20%,,875 m,88 m,595 m,,,,875 m,88 m,10,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Marine|Airborne|Support
CENTURION Mk.5AT,30,TNK,Canada,FALSE,FALSE,FALSE,35 km/h,450 km,10,60,20,,1,0.05,9,5,2,2,Main Gun,3,8,,41,1 s,1 s,1,8 s,2 m,147 m,40%,10%,1925 m,,,,,,1925 m,,15,ATGM,1,17,,4,2 s,1 s,4,20 s,4 m,280 m,30%,,2450 m,175 m,,,,,2450 m,175 m,238,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,1965,Mechanized|Armored|Support
